submitted_subject_id tumor normal
03-P152 SRR3481505 SRR3489943
05-P103 SRR3678509 SRR3562024
SJDES001-R SRR3485300 SRR3784595
SJDES002-R SRR3761215 SRR3480949
SJDES003-R SRR3765892 SRR3605896
SJDES004 SRR3538477 SRR3485357
SJDES005 SRR3589489 SRR3769400
SJDES006 SRR3635106 SRR3473372
SJDES007 SRR3500995 SRR3568129
SJDES008 SRR3772888 SRR3644516
SJDES009 SRR3568150 SRR3575951
SJDES010 SRR3497115 SRR3489950
SJDES011-R SRR3537334 SRR3485204
SJDES012 SRR3693642 SRR3777881
SJDES013 SRR3784385 SRR3676977
SJDES014 SRR3519277 SRR3478246
SJDES015 SRR3775059 SRR3785094
SJDES016 SRR3566027 SRR3616592
SJDES017 SRR3674163 SRR3478978
SJDES018-R SRR3720673 SRR3760288
SJDES019 SRR3766529 SRR3518166
SJDES020 SRR3667902 SRR3786934
SJDES021 SRR3587022 SRR3766718
SJDES022-R SRR3485451 SRR3647211
SJDES028 SRR3482938 SRR3678074
SJDES029 SRR3490132 SRR3776824
